Disability,Region,Population,age/ave_affected,age affection
Mobility Disability,Region II (Cagayan Valley),1273322,Age: 5-19,77.0
Self-Care Disability,Region II (Cagayan Valley),1273322,Age: 5-19,105.0
Visual Disability,Region II (Cagayan Valley),1273322,Age: 5-19,175.0
Cognitive Disability,Region II (Cagayan Valley),1685739,Age: 5-19,66.0
Communication Disability,Region II (Cagayan Valley),1685739,Age: 5-19,123.0
Hearing Disability,Region II (Cagayan Valley),1685739,Age: 5-19,76.0
Mobility Disability,Region II (Cagayan Valley),1685739,Age: 5-19,71.0
Self-Care Disability,Region II (Cagayan Valley),1685739,Age: 5-19,92.0
Visual Disability,Region II (Cagayan Valley),1685739,Age: 5-19,204.0
Cognitive Disability,Region II (Cagayan Valley),482894,Age: 5-19,93.0
Communication Disability,Region II (Cagayan Valley),482894,Age: 5-19,117.0
Hearing Disability,Region II (Cagayan Valley),482894,Age: 5-19,87.0
Mobility Disability,Region II (Cagayan Valley),482894,Age: 5-19,94.0
Self-Care Disability,Region II (Cagayan Valley),482894,Age: 5-19,137.0
Visual Disability,Region II (Cagayan Valley),482894,Age: 5-19,162.0
Cognitive Disability,Region II (Cagayan Valley),197917,Age: 5-19,71.0
Communication Disability,Region II (Cagayan Valley),197917,Age: 5-19,100.0
Hearing Disability,Region II (Cagayan Valley),197917,Age: 5-19,92.0
Mobility Disability,Region II (Cagayan Valley),197917,Age: 5-19,85.0
Self-Care Disability,Region II (Cagayan Valley),197917,Age: 5-19,69.0
Visual Disability,Region II (Cagayan Valley),197917,Age: 5-19,127.0
Cognitive Disability,Region III (Central Luzon),227530,Age: 5-19,81.0
Communication Disability,Region III (Central Luzon),227530,Age: 5-19,117.0
Hearing Disability,Region III (Central Luzon),227530,Age: 5-19,69.0
Mobility Disability,Region III (Central Luzon),227530,Age: 5-19,86.0
Self-Care Disability,Region III (Central Luzon),227530,Age: 5-19,78.0
Visual Disability,Region III (Central Luzon),227530,Age: 5-19,115.0
Cognitive Disability,Region III (Central Luzon),836076,Age: 5-19,57.0
Communication Disability,Region III (Central Luzon),836076,Age: 5-19,90.0
Hearing Disability,Region III (Central Luzon),836076,Age: 5-19,71.0
Mobility Disability,Region III (Central Luzon),836076,Age: 5-19,60.0
Self-Care Disability,Region III (Central Luzon),836076,Age: 5-19,76.0
Visual Disability,Region III (Central Luzon),836076,Age: 5-19,380.0
Cognitive Disability,Region III (Central Luzon),3646679,Age: 5-19,61.0
Communication Disability,Region III (Central Luzon),3646679,Age: 5-19,105.0
Hearing Disability,Region III (Central Luzon),3646679,Age: 5-19,63.0
Mobility Disability,Region III (Central Luzon),3646679,Age: 5-19,56.0
Self-Care Disability,Region III (Central Luzon),3646679,Age: 5-19,80.0
Visual Disability,Region III (Central Luzon),3646679,Age: 5-19,427.0
