Disability,Region,Status,RegCode_Old,Province,ProvCode_Old,Household Population 5 Years Old and Over with Functional Difficulty,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,QUIRINO,PH025700000,2517,197917,1272.0,3.104487111312395
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,BATANES,PH020900000,45,17874,252.0,2.401400540781544
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,CAGAYAN,PH021500000,2459,1273322,194.0,2.287801729930226
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,ISABELA,PH023100000,3036,1685739,181.0,2.2576785748691846
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,NUEVA VIZCAYA,PH025000000,1103,482894,229.0,2.359835482339888
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,QUIRINO,PH025700000,355,197917,180.0,2.255272505103306
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,BATANES,PH020900000,14,17874,79.0,1.8976270912904414
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,CAGAYAN,PH021500000,852,1273322,67.0,1.8260748027008264
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,ISABELA,PH023100000,966,1685739,58.0,1.7634279935629373
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,NUEVA VIZCAYA,PH025000000,302,482894,63.0,1.7993405494535817
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,QUIRINO,PH025700000,85,197917,43.0,1.6334684555795864
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,AURORA,PH037700000,2223,227530,978.0,2.9903388547876015
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,BATAAN,PH030800000,6794,836076,813.0,2.910090545594068
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,BULACAN,PH031400000,26606,3646679,730.0,2.863322860120456
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,NUEVA ECIJA,PH034900000,19553,2355414,831.0,2.919601023784111
