Disability,Region,Population,age/ave_affected,age affection
Cognitive Disability,Region II (Cagayan Valley),3657746,Age: 35–54,12045
Communication Disability,Region II (Cagayan Valley),3657746,Age: 35–54,4090
Hearing Disability,Region II (Cagayan Valley),3657746,Age: 35–54,13520
Mobility Disability,Region II (Cagayan Valley),3657746,Age: 35–54,14681
Self-Care Disability,Region II (Cagayan Valley),3657746,Age: 35–54,3099
Visual Disability,Region II (Cagayan Valley),3657746,Age: 35–54,98179
Cognitive Disability,Region III (Central Luzon),12313714,Age: 35–54,20258
Communication Disability,Region III (Central Luzon),12313714,Age: 35–54,11809
Hearing Disability,Region III (Central Luzon),12313714,Age: 35–54,28790
Mobility Disability,Region III (Central Luzon),12313714,Age: 35–54,31577
Self-Care Disability,Region III (Central Luzon),12313714,Age: 35–54,8208
Visual Disability,Region III (Central Luzon),12313714,Age: 35–54,292930
Cognitive Disability,Region IV-A (CALABARZON),16057291,Age: 35–54,27967
Communication Disability,Region IV-A (CALABARZON),16057291,Age: 35–54,15431
Hearing Disability,Region IV-A (CALABARZON),16057291,Age: 35–54,33326
Mobility Disability,Region IV-A (CALABARZON),16057291,Age: 35–54,38394
Self-Care Disability,Region IV-A (CALABARZON),16057291,Age: 35–54,10712
Visual Disability,Region IV-A (CALABARZON),16057291,Age: 35–54,309898
Cognitive Disability,Region IX (Zamboanga Peninsula),3782761,Age: 35–54,13670
Communication Disability,Region IX (Zamboanga Peninsula),3782761,Age: 35–54,4203
Hearing Disability,Region IX (Zamboanga Peninsula),3782761,Age: 35–54,9244
Mobility Disability,Region IX (Zamboanga Peninsula),3782761,Age: 35–54,11046
Self-Care Disability,Region IX (Zamboanga Peninsula),3782761,Age: 35–54,3529
Visual Disability,Region IX (Zamboanga Peninsula),3782761,Age: 35–54,69243
Cognitive Disability,Region V (Bicol Region),6133835,Age: 35–54,21289
Communication Disability,Region V (Bicol Region),6133835,Age: 35–54,7792
Hearing Disability,Region V (Bicol Region),6133835,Age: 35–54,21720
Mobility Disability,Region V (Bicol Region),6133835,Age: 35–54,24101
Self-Care Disability,Region V (Bicol Region),6133835,Age: 35–54,4959
Visual Disability,Region V (Bicol Region),6133835,Age: 35–54,143771
Cognitive Disability,Region VI (Western Visayas),7904895,Age: 35–54,29505
Communication Disability,Region VI (Western Visayas),7904895,Age: 35–54,9934
Hearing Disability,Region VI (Western Visayas),7904895,Age: 35–54,20647
Mobility Disability,Region VI (Western Visayas),7904895,Age: 35–54,24900
Self-Care Disability,Region VI (Western Visayas),7904895,Age: 35–54,7163
Visual Disability,Region VI (Western Visayas),7904895,Age: 35–54,147466
Cognitive Disability,Region VII (Central Visayas),7957045,Age: 35–54,26212
Communication Disability,Region VII (Central Visayas),7957045,Age: 35–54,9029
Hearing Disability,Region VII (Central Visayas),7957045,Age: 35–54,18480
Mobility Disability,Region VII (Central Visayas),7957045,Age: 35–54,21541
Self-Care Disability,Region VII (Central Visayas),7957045,Age: 35–54,6205
Visual Disability,Region VII (Central Visayas),7957045,Age: 35–54,120068
Cognitive Disability,Region VIII (Eastern Visayas),4742342,Age: 35–54,18012
Communication Disability,Region VIII (Eastern Visayas),4742342,Age: 35–54,5211
Hearing Disability,Region VIII (Eastern Visayas),4742342,Age: 35–54,16251
Mobility Disability,Region VIII (Eastern Visayas),4742342,Age: 35–54,17377
Self-Care Disability,Region VIII (Eastern Visayas),4742342,Age: 35–54,3395
Visual Disability,Region VIII (Eastern Visayas),4742342,Age: 35–54,105130
Cognitive Disability,Region X (Northern Mindanao),5017050,Age: 35–54,16575
Communication Disability,Region X (Northern Mindanao),5017050,Age: 35–54,5538
Hearing Disability,Region X (Northern Mindanao),5017050,Age: 35–54,12061
Mobility Disability,Region X (Northern Mindanao),5017050,Age: 35–54,12580
Self-Care Disability,Region X (Northern Mindanao),5017050,Age: 35–54,4340
Visual Disability,Region X (Northern Mindanao),5017050,Age: 35–54,75728
Cognitive Disability,Region XIII (Caraga),2753107,Age: 35–54,12844
Communication Disability,Region XIII (Caraga),2753107,Age: 35–54,3087
Hearing Disability,Region XIII (Caraga),2753107,Age: 35–54,8103
Mobility Disability,Region XIII (Caraga),2753107,Age: 35–54,8397
Self-Care Disability,Region XIII (Caraga),2753107,Age: 35–54,2137
Visual Disability,Region XIII (Caraga),2753107,Age: 35–54,51030
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 55-80+,28781
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 55-80+,14816
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 55-80+,40994
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 55-80+,39877
