Region,Province,Disability,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+,Household Population 5 Years Old and Over with Functional Difficulty,Population
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,Self-Care Disability,111.0,53.0,80.0,332.0,9423,1644256
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,Visual Disability,161.0,395.0,1832.0,2818.0,85584,1644256
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,Cognitive Disability,72.0,197.0,557.0,1056.0,16076,855241
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,Communication Disability,95.0,74.0,98.0,278.0,4649,855241
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,Hearing Disability,51.0,71.0,264.0,1128.0,12927,855241
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,Mobility Disability,61.0,83.0,325.0,1131.0,13670,855241
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,Self-Care Disability,114.0,46.0,87.0,395.0,5477,855241
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,Visual Disability,68.0,210.0,1561.0,2701.0,38816,855241
Region I (Ilocos Region),ILOCOS NORTE,Cognitive Disability,49.0,63.0,178.0,1030.0,8085,613421
Region I (Ilocos Region),ILOCOS NORTE,Communication Disability,84.0,89.0,111.0,368.0,3983,613421
Region I (Ilocos Region),ILOCOS NORTE,Hearing Disability,46.0,70.0,209.0,1737.0,12638,613421
Region I (Ilocos Region),ILOCOS NORTE,Mobility Disability,58.0,70.0,246.0,1829.0,13503,613421
Region I (Ilocos Region),ILOCOS NORTE,Self-Care Disability,73.0,44.0,67.0,558.0,4540,613421
Region I (Ilocos Region),ILOCOS NORTE,Visual Disability,102.0,239.0,1304.0,3585.0,32064,613421
Region I (Ilocos Region),ILOCOS SUR,Cognitive Disability,56.0,80.0,251.0,1278.0,11896,715810
Region I (Ilocos Region),ILOCOS SUR,Communication Disability,85.0,80.0,108.0,401.0,4813,715810
Region I (Ilocos Region),ILOCOS SUR,Hearing Disability,57.0,91.0,348.0,2418.0,20844,715810
Region I (Ilocos Region),ILOCOS SUR,Mobility Disability,65.0,84.0,354.0,2374.0,20579,715810
Region I (Ilocos Region),ILOCOS SUR,Self-Care Disability,70.0,46.0,84.0,632.0,5934,715810
Region I (Ilocos Region),ILOCOS SUR,Visual Disability,155.0,376.0,2467.0,5627.0,61726,715810
Region I (Ilocos Region),LA UNION,Cognitive Disability,58.0,76.0,205.0,1025.0,11275,828194
Region I (Ilocos Region),LA UNION,Communication Disability,102.0,95.0,108.0,322.0,5170,828194
Region I (Ilocos Region),LA UNION,Hearing Disability,62.0,90.0,272.0,1856.0,18869,828194
Region I (Ilocos Region),LA UNION,Mobility Disability,66.0,87.0,303.0,1781.0,18503,828194
Region I (Ilocos Region),LA UNION,Self-Care Disability,79.0,55.0,79.0,488.0,5780,828194
Region I (Ilocos Region),LA UNION,Visual Disability,156.0,379.0,1943.0,4495.0,57736,828194
Region I (Ilocos Region),PANGASINAN,Cognitive Disability,54.0,74.0,198.0,889.0,37762,3113382
Region I (Ilocos Region),PANGASINAN,Communication Disability,103.0,98.0,114.0,318.0,19646,3113382
Region I (Ilocos Region),PANGASINAN,Hearing Disability,57.0,80.0,275.0,1691.0,65411,3113382
Region I (Ilocos Region),PANGASINAN,Mobility Disability,58.0,75.0,281.0,1630.0,63540,3113382
Region I (Ilocos Region),PANGASINAN,Self-Care Disability,78.0,48.0,76.0,465.0,20714,3113382
Region I (Ilocos Region),PANGASINAN,Visual Disability,152.0,386.0,2353.0,4655.0,234885,3113382
Region II (Cagayan Valley),BATANES,Cognitive Disability,84.0,163.0,202.0,1024.0,263,17874
Region II (Cagayan Valley),BATANES,Communication Disability,224.0,157.0,118.0,319.0,146,17874
Region II (Cagayan Valley),BATANES,Hearing Disability,118.0,112.0,331.0,2154.0,485,17874
Region II (Cagayan Valley),BATANES,Mobility Disability,90.0,101.0,359.0,2345.0,517,17874
Region II (Cagayan Valley),BATANES,Self-Care Disability,118.0,84.0,84.0,465.0,134,17874
Region II (Cagayan Valley),BATANES,Visual Disability,185.0,286.0,1315.0,3531.0,950,17874
Region II (Cagayan Valley),CAGAYAN,Cognitive Disability,66.0,96.0,304.0,1213.0,21363,1273322
Region II (Cagayan Valley),CAGAYAN,Communication Disability,101.0,87.0,108.0,356.0,8278,1273322
Region II (Cagayan Valley),CAGAYAN,Hearing Disability,69.0,98.0,361.0,2011.0,32301,1273322
Region II (Cagayan Valley),CAGAYAN,Mobility Disability,77.0,98.0,377.0,1809.0,30032,1273322
Region II (Cagayan Valley),CAGAYAN,Self-Care Disability,105.0,60.0,96.0,496.0,9618,1273322
Region II (Cagayan Valley),CAGAYAN,Visual Disability,175.0,412.0,2461.0,4886.0,100996,1273322
Region II (Cagayan Valley),ISABELA,Cognitive Disability,66.0,116.0,351.0,1137.0,28113,1685739
Region II (Cagayan Valley),ISABELA,Communication Disability,123.0,111.0,119.0,316.0,11222,1685739
Region II (Cagayan Valley),ISABELA,Hearing Disability,76.0,107.0,378.0,1866.0,40872,1685739
Region II (Cagayan Valley),ISABELA,Mobility Disability,71.0,100.0,422.0,1782.0,39987,1685739
Region II (Cagayan Valley),ISABELA,Self-Care Disability,92.0,52.0,77.0,401.0,10452,1685739
Region II (Cagayan Valley),ISABELA,Visual Disability,204.0,515.0,3121.0,5207.0,152476,1685739
Region II (Cagayan Valley),NUEVA VIZCAYA,Cognitive Disability,93.0,126.0,344.0,1224.0,8619,482894
Region II (Cagayan Valley),NUEVA VIZCAYA,Communication Disability,117.0,100.0,108.0,355.0,3271,482894
Region II (Cagayan Valley),NUEVA VIZCAYA,Hearing Disability,87.0,109.0,379.0,2012.0,12482,482894
Region II (Cagayan Valley),NUEVA VIZCAYA,Mobility Disability,94.0,110.0,423.0,2099.0,13157,482894
Region II (Cagayan Valley),NUEVA VIZCAYA,Self-Care Disability,137.0,65.0,94.0,516.0,3911,482894
Region II (Cagayan Valley),NUEVA VIZCAYA,Visual Disability,162.0,379.0,2221.0,4703.0,36041,482894
Region II (Cagayan Valley),QUIRINO,Cognitive Disability,71.0,113.0,289.0,1024.0,2957,197917
Region II (Cagayan Valley),QUIRINO,Communication Disability,100.0,83.0,99.0,259.0,1064,197917
Region II (Cagayan Valley),QUIRINO,Hearing Disability,92.0,109.0,346.0,1652.0,4348,197917
