Region,Province,Sex,Disability,Status,Household Population 5 Years Old and Over with Functional Difficulty,Gender Population,Gender affected by disability per 100k
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Cognitive Disability,Severe,13,206845.0,6
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Communication Disability,Mild,491,206845.0,237
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Communication Disability,Moderate,171,206845.0,82
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Communication Disability,Severe,124,206845.0,59
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Hearing Disability,Mild,1773,206845.0,857
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Hearing Disability,Moderate,102,206845.0,49
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Hearing Disability,Severe,19,206845.0,9
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Mobility Disability,Mild,1524,206845.0,736
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Mobility Disability,Moderate,172,206845.0,83
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Mobility Disability,Severe,29,206845.0,14
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Self-Care Disability,Mild,571,206845.0,276
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Self-Care Disability,Moderate,88,206845.0,42
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Self-Care Disability,Severe,31,206845.0,14
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Visual Disability,Mild,2997,206845.0,1448
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Visual Disability,Moderate,144,206845.0,69
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Visual Disability,Severe,83,206845.0,40
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Cognitive Disability,Mild,1093,206845.0,528
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Cognitive Disability,Moderate,85,206845.0,41
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Cognitive Disability,Severe,11,206845.0,5
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Communication Disability,Mild,479,206845.0,231
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Communication Disability,Moderate,80,206845.0,38
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Communication Disability,Severe,79,206845.0,38
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Hearing Disability,Mild,2016,206845.0,974
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Hearing Disability,Moderate,79,206845.0,38
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Hearing Disability,Severe,17,206845.0,8
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Mobility Disability,Mild,1584,206845.0,765
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Mobility Disability,Moderate,109,206845.0,52
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Mobility Disability,Severe,28,206845.0,13
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Self-Care Disability,Mild,525,206845.0,253
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Self-Care Disability,Moderate,62,206845.0,29
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Self-Care Disability,Severe,41,206845.0,19
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Visual Disability,Mild,3077,206845.0,1487
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Visual Disability,Moderate,99,206845.0,47
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Male,Visual Disability,Severe,61,206845.0,29
Cordillera Administrative Region (CAR),ABRA,Female,Cognitive Disability,Mild,3334,123701.0,2695
Cordillera Administrative Region (CAR),ABRA,Female,Cognitive Disability,Moderate,450,123701.0,363
Cordillera Administrative Region (CAR),ABRA,Female,Cognitive Disability,Severe,82,123701.0,66
Cordillera Administrative Region (CAR),ABRA,Female,Communication Disability,Mild,603,123701.0,487
Cordillera Administrative Region (CAR),ABRA,Female,Communication Disability,Moderate,226,123701.0,182
Cordillera Administrative Region (CAR),ABRA,Female,Communication Disability,Severe,163,123701.0,131
Cordillera Administrative Region (CAR),ABRA,Female,Hearing Disability,Mild,3739,123701.0,3022
Cordillera Administrative Region (CAR),ABRA,Female,Hearing Disability,Moderate,666,123701.0,538
Cordillera Administrative Region (CAR),ABRA,Female,Hearing Disability,Severe,82,123701.0,66
Cordillera Administrative Region (CAR),ABRA,Female,Mobility Disability,Mild,3509,123701.0,2836
Cordillera Administrative Region (CAR),ABRA,Female,Mobility Disability,Moderate,703,123701.0,568
Cordillera Administrative Region (CAR),ABRA,Female,Mobility Disability,Severe,293,123701.0,236
Cordillera Administrative Region (CAR),ABRA,Female,Self-Care Disability,Mild,700,123701.0,565
