Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Both Sexes,Mild,1287,190,111,169,817
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Both Sexes,Moderate,404,58,30,63,253
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Both Sexes,Severe,391,50,53,39,249
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Male,All,900,184,106,162,448
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Male,Mild,577,121,65,101,290
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Male,Moderate,180,35,16,43,86
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Male,Severe,143,28,25,18,72
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Female,All,1182,114,88,109,871
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Female,Mild,710,69,46,68,527
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Female,Moderate,224,23,14,20,167
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Female,Severe,248,22,28,21,177
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Both Sexes,All,2039,435,370,366,868
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Both Sexes,Mild,1237,235,178,215,609
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Both Sexes,Moderate,418,107,82,72,157
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Both Sexes,Severe,384,93,110,79,102
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Male,All,998,273,191,199,335
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Male,Mild,610,148,98,122,242
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Male,Moderate,204,68,38,41,57
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Male,Severe,184,57,55,36,36
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Female,All,1041,162,179,167,533
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Female,Mild,627,87,80,93,367
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Female,Moderate,214,39,44,31,100
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Communication Disability,Female,Severe,200,36,55,43,66
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,All,30667,2267,4316,9572,14512
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,Mild,29320,2135,4136,9269,13780
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,Moderate,1210,113,162,275,660
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,Severe,137,19,18,28,72
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,All,12681,973,1734,4015,5959
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,Mild,12121,906,1651,3883,5681
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,Moderate,505,59,73,119,254
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,Severe,55,8,10,13,24
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,All,17986,1294,2582,5557,8553
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,Mild,17199,1229,2485,5386,8099
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,Moderate,705,54,89,156,406
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,Severe,82,11,8,15,48
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,All,4839,221,282,818,3518
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,Mild,4288,175,218,720,3175
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,Moderate,416,26,38,61,291
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,Severe,135,20,26,37,52
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,All,2135,125,137,390,1483
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,Mild,1869,99,96,335,1339
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,Moderate,197,19,25,35,118
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,Severe,69,7,16,20,26
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,All,2704,96,145,428,2035
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,Mild,2419,76,122,385,1836
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,Moderate,219,7,13,26,173
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,Severe,66,13,10,17,26
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,All,6424,234,266,1191,4733
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,Mild,5152,150,196,956,3850
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,Moderate,901,45,39,176,641
