Disability,Region,Status,RegCode_New,Province,Household Population 5 Years Old and Over with Functional Difficulty,Province_pcode,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,BULACAN,26606,PH031400000,3646679,730.0,2.863322860120456
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,NUEVA ECIJA,19553,PH034900000,2355414,831.0,2.919601023784111
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,PAMPANGA,13310,PH035400000,2893624,460.0,2.662757831681574
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,TARLAC,10074,PH036900000,1460137,690.0,2.838849090737255
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,ZAMBALES,9105,PH037100000,894254,1019.0,3.0081741840064264
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,AURORA,342,PH037700000,227530,151.0,2.1789769472931693
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,BATAAN,956,PH030800000,836076,115.0,2.060697840353612
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,BULACAN,4049,PH031400000,3646679,112.0,2.0492180226701815
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,NUEVA ECIJA,2790,PH034900000,2355414,119.0,2.0755469613925306
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,PAMPANGA,1874,PH035400000,2893624,65.0,1.8129133566428555
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,TARLAC,1496,PH036900000,1460137,103.0,2.012837224705172
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,ZAMBALES,1367,PH037100000,894254,153.0,2.184691430817599
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,AURORA,135,PH037700000,227530,60.0,1.7781512503836436
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,BATAAN,343,PH030800000,836076,42.0,1.6232492903979006
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,BULACAN,1493,PH031400000,3646679,41.0,1.6127838567197355
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,NUEVA ECIJA,1056,PH034900000,2355414,45.0,1.6532125137753437
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,PAMPANGA,822,PH035400000,2893624,29.0,1.462397997898956
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,TARLAC,647,PH036900000,1460137,45.0,1.6532125137753437
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,ZAMBALES,487,PH037100000,894254,55.0,1.7403626894942439
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,BATANGAS,15699,PH041000000,3033730,518.0,2.714329759745233
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,CAVITE,20477,PH042100000,4210866,487.0,2.6875289612146345
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,LAGUNA,20378,PH043400000,3343703,610.0,2.785329835010767
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,QUEZON,33069,PH045600000,2260033,1464.0,3.165541076722373
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,RIZAL,19143,PH045800000,3208959,597.0,2.775974331129369
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,BATANGAS,3025,PH041000000,3033730,100.0,2.0
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,CAVITE,3869,PH042100000,4210866,92.0,1.9637878273455553
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,LAGUNA,2862,PH043400000,3343703,86.0,1.9344984512435677
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,QUEZON,3949,PH045600000,2260033,175.0,2.2430380486862944
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,RIZAL,2969,PH045800000,3208959,93.0,1.968482948553935
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,BATANGAS,1412,PH041000000,3033730,47.0,1.6720978579357175
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,CAVITE,1666,PH042100000,4210866,40.0,1.6020599913279623
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,LAGUNA,1181,PH043400000,3343703,36.0,1.5563025007672873
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,QUEZON,1188,PH045600000,2260033,53.0,1.724275869600789
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,RIZAL,1251,PH045800000,3208959,39.0,1.591064607026499
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,CITY OF ISABELA (NOT A PROVINCE),844,PH099700000,127728,661.0,2.82020145948564
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,ZAMBOANGA DEL NORTE,16426,PH097200000,1047292,1569.0,3.1956229435869368
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,ZAMBOANGA DEL SUR,22885,PH097300000,1928337,1187.0,3.074450718954591
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,ZAMBOANGA SIBUGAY,13363,PH098300000,679404,1967.0,3.2938043599193367
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,CITY OF ISABELA (NOT A PROVINCE),104,PH099700000,127728,82.0,1.9138138523837167
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,ZAMBOANGA DEL NORTE,2065,PH097200000,1047292,198.0,2.296665190261531
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,ZAMBOANGA DEL SUR,3048,PH097300000,1928337,159.0,2.2013971243204513
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,ZAMBOANGA SIBUGAY,1432,PH098300000,679404,211.0,2.3242824552976926
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,CITY OF ISABELA (NOT A PROVINCE),43,PH099700000,127728,34.0,1.5314789170422551
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,ZAMBOANGA DEL NORTE,646,PH097200000,1047292,62.0,1.792391689498254
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,ZAMBOANGA DEL SUR,1075,PH097300000,1928337,56.0,1.7481880270062005
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,ZAMBOANGA SIBUGAY,460,PH098300000,679404,68.0,1.8325089127062364
