Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,id,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Female,Moderate,PH129800000,87,10,5,11,61
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Female,Severe,PH129800000,18,2,3,6,7
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Male,All,PH129800000,743,91,53,121,478
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Male,Mild,PH129800000,650,69,44,103,434
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Male,Moderate,PH129800000,76,14,6,15,41
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Male,Severe,PH129800000,17,8,3,3,3
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Both Sexes,All,PH129800000,1270,249,175,180,666
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Both Sexes,Mild,PH129800000,981,147,93,146,595
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Both Sexes,Moderate,PH129800000,172,54,43,19,56
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Both Sexes,Severe,PH129800000,117,48,39,15,15
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Female,All,PH129800000,676,116,86,88,386
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Female,Mild,PH129800000,523,76,36,71,340
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Female,Moderate,PH129800000,94,21,25,10,38
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Female,Severe,PH129800000,59,19,25,7,8
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Male,All,PH129800000,594,133,89,92,280
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Male,Mild,PH129800000,458,71,57,75,255
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Male,Moderate,PH129800000,78,33,18,9,18
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Communication Disability,Male,Severe,PH129800000,58,29,14,8,7
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Both Sexes,All,PH129800000,2291,95,104,418,1674
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Both Sexes,Mild,PH129800000,2125,80,87,398,1560
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Both Sexes,Moderate,PH129800000,141,9,10,17,105
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Both Sexes,Severe,PH129800000,25,6,7,3,9
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Female,All,PH129800000,1209,42,45,208,914
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Female,Mild,PH129800000,1121,37,40,199,845
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Female,Moderate,PH129800000,78,4,4,7,63
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Female,Severe,PH129800000,10,1,1,2,6
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Male,All,PH129800000,1082,53,59,210,760
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Male,Mild,PH129800000,1004,43,47,199,715
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Male,Moderate,PH129800000,63,5,6,10,42
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Hearing Disability,Male,Severe,PH129800000,15,5,6,1,3
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Both Sexes,All,PH129800000,2837,144,148,519,2026
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Both Sexes,Mild,PH129800000,2502,97,119,483,1803
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Both Sexes,Moderate,PH129800000,258,32,22,24,180
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Both Sexes,Severe,PH129800000,77,15,7,12,43
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Female,All,PH129800000,1530,64,59,269,1138
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Female,Mild,PH129800000,1346,43,47,254,1002
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Female,Moderate,PH129800000,144,13,9,12,110
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Female,Severe,PH129800000,40,8,3,3,26
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Male,All,PH129800000,1307,80,89,250,888
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Male,Mild,PH129800000,1156,54,72,229,801
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Male,Moderate,PH129800000,114,19,13,12,70
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Mobility Disability,Male,Severe,PH129800000,37,7,4,9,17
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Both Sexes,All,PH129800000,1342,270,114,162,796
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Both Sexes,Mild,PH129800000,1105,216,85,129,675
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Both Sexes,Moderate,PH129800000,155,36,23,21,75
